[1, 0]
[855333, 2]
[856369, 3]
[857405, 4]
[858441, 4]
[859478, 4]
[860514, 1]
[861550, 1]
[862586, 2]
[863622, 3]
[864658, 3]
[865694, 4]
[866731, 4]
[867767, 4]
[868803, 1]
[869839, 2]
[870875, 3]
[871911, 3]
[872947, 4]
[873984, 4]
[875020, 4]
[876056, 1]
[877092, 2]
[878128, 3]
[879164, 3]
[880200, 4]
[881237, 4]
[882273, 4]
[883309, 1]
[884345, 2]
[885381, 2]
[886417, 3]
[887453, 4]
[888489, 4]
[889526, 4]
[890562, 1]
[891598, 2]
[892634, 2]
[893670, 3]
[894706, 4]
[895742, 4]
[896779, 4]
[897815, 1]
[898851, 1]
[899887, 2]
[900923, 3]
[901959, 3]
[903513, 4]
[904550, 4]
[905586, 1]
[906622, 2]
[907658, 2]
[908694, 3]
[909730, 4]
[910766, 4]
[911803, 4]
[912839, 1]
[913875, 2]
[914911, 2]
[915947, 3]
[916983, 4]
[917785, 1]
[918348, 8]
[918912, 6]
[919476, 3]
[920040, 1]
[920603, 8]
[921167, 5]
[921731, 3]
[922295, 1]
[922858, 7]
[923422, 5]
[923986, 3]
[924550, 8]
[925113, 7]
[925677, 5]
[926241, 3]
[926805, 8]
[927368, 7]
[927932, 5]
[928496, 2]
[929060, 8]
[929623, 7]
[930187, 5]
[930751, 2]
[931315, 8]
[931878, 7]
[932442, 4]
[933006, 2]
[933570, 8]
[934133, 7]
[934697, 4]
[935261, 2]
[935825, 8]
[936388, 6]
[936952, 4]
[937516, 2]
[938079, 8]
[938643, 6]
[939207, 4]
[939771, 2]
[940334, 8]
[940898, 6]
[941462, 4]
[942026, 1]
[942589, 8]
[943153, 6]
[943717, 4]
[944281, 1]
[944844, 8]
[945408, 6]
[945972, 3]
[946536, 1]
[947099, 8]
[947663, 6]
[948227, 3]
[948791, 1]
[949354, 8]
[949918, 5]
[950482, 3]
[951046, 1]
[951609, 7]
[952173, 5]
[952737, 3]
[953301, 8]
[953864, 7]
[954428, 5]
[954992, 3]
[955556, 8]
[956119, 7]
[956683, 5]
[957247, 2]
[957811, 8]
[958374, 7]
[958938, 5]
[959502, 2]
[960066, 8]
[960629, 7]
[961193, 4]
[961757, 2]
[962321, 8]
[962884, 7]
[963448, 4]
[964012, 2]
[964576, 8]
[965139, 6]
[965703, 4]
[966267, 2]
[966830, 8]
[967394, 6]
[967958, 4]
[968522, 2]
[969085, 8]
[969649, 6]
[970213, 4]
[970777, 1]
[971340, 8]
[971904, 6]
[972468, 4]
[973032, 1]
[973595, 8]
[974159, 6]
[974723, 3]
[975287, 1]
[975850, 8]
[976414, 6]
[976978, 3]
[977542, 1]
[978105, 8]
[978669, 5]
[979233, 3]
[979797, 1]
[980360, 7]
